_id,Calendar Year,Hospital and Health Service (2014),Facility ID,Facility Name,Mothers,Babies
327,1997,Wide Bay,67,Gin Gin,1,1
328,1997,Wide Bay,69,Hervey Bay,43,43
329,1997,Wide Bay,71,Maryborough,804,810
330,1997,Wide Bay,72,Monto,38,38
331,1997,Wide Bay,74,Mundubbera,13,13
332,1997,Wide Bay,996,Bundaberg Hospital Birthing Centre,32,32
333,1998,Cairns and Hinterland,211,Atherton,285,286
334,1998,Cairns and Hinterland,212,Babinda,11,11
335,1998,Cairns and Hinterland,214,Cairns,1701,1734
336,1998,Cairns and Hinterland,217,Croydon,1,1
337,1998,Cairns and Hinterland,220,Gordonvale,3,3
338,1998,Cairns and Hinterland,222,Innisfail,330,331
339,1998,Cairns and Hinterland,223,Mareeba,223,227
340,1998,Cairns and Hinterland,224,Mossman,106,106
341,1998,Cairns and Hinterland,227,Tully,38,38
342,1998,Cairns and Hinterland,229,Gurriny Yealamucka PHC,11,11
343,1998,Central Queensland,133,Biloela,116,116
344,1998,Central Queensland,134,Blackwater,6,6
345,1998,Central Queensland,135,Emerald,282,283
346,1998,Central Queensland,136,Gladstone,514,519
347,1998,Central Queensland,139,Mount Morgan,6,6
348,1998,Central Queensland,140,Moura,31,32
349,1998,Central Queensland,141,Rockhampton,1037,1051
350,1998,Central Queensland,142,Springsure,18,18
351,1998,Central Queensland,143,Theodore,20,20
352,1998,Central Queensland,144,Capricorn Coast (Yeppoon),15,15
353,1998,Central Queensland,145,Woorabinda,8,8
354,1998,Central West,151,Aramac,1,1
355,1998,Central West,152,Barcaldine,17,17
356,1998,Central West,153,Blackall,21,21
357,1998,Central West,156,Longreach,85,87
358,1998,Central West,159,Winton,23,23
359,1998,Darling Downs,63,Cherbourg,7,7
360,1998,Darling Downs,70,Kingaroy,299,303
361,1998,Darling Downs,77,Wondai,39,39
362,1998,Darling Downs,91,Chinchilla,75,75
363,1998,Darling Downs,92,Dalby,211,211
364,1998,Darling Downs,93,Goondiwindi,125,125
365,1998,Darling Downs,95,Jandowae,5,5
366,1998,Darling Downs,97,Miles,30,30
367,1998,Darling Downs,100,Stanthorpe,105,105
368,1998,Darling Downs,102,Taroom,10,10
369,1998,Darling Downs,103,Texas,1,1
370,1998,Darling Downs,104,Toowoomba,1406,1424
371,1998,Darling Downs,105,Warwick,216,216
372,1998,Gold Coast,50,Gold Coast,2463,2491
373,1998,Home Births,99999,na,171,171
374,1998,Mackay,171,Clermont,33,33
375,1998,Mackay,172,Mackay,950,971
376,1998,Mackay,173,Moranbah,35,35
377,1998,Mackay,174,Proserpine,210,210
378,1998,Mackay,176,Dysart,24,24
379,1998,Mackay,192,Bowen,38,38
380,1998,Mackay,194,Collinsville,4,4
381,1998,Mackay,995,Mackay Base Hospital Birthing Centre,87,87
382,1998,Mater Public Hospitals,3,Mater Mothers',4956,5039
383,1998,Metro North,9,Royal Women's,3949,4045
384,1998,Metro North,16,Redcliffe,1121,1131
385,1998,Metro North,30,Caboolture,1433,1446
386,1998,Metro North,46,Kilcoy,23,23
387,1998,Metro North,994,RBWH Birthing Centre,196,197
388,1998,Metro South,24,Wynnum,1,1
389,1998,Metro South,25,Marie Rose Centre (Dunwich),3,3
390,1998,Metro South,29,Logan,2485,2505
391,1998,Metro South,41,Beaudesert,334,337
392,1998,North West,243,Cloncurry,7,7
393,1998,North West,246,Mount Isa,622,626
